language	number	form	predicted	WER	PER
ace	42	peuëtplôhduwa	peuëtplôhduwa	0	0.0
ace	43	peuëtplôhlhèë	peuëtplôhlhèë	0	0.0
ace	44	peuëtplôhpeuët	peuëtplôhpeuët	0	0.0
ace	45	peuëtplôhlimong	peuëtplôhlimong	0	0.0
ace	46	peuëtplôhnam	peuëtplôhnam	0	0.0
ace	47	peuëtplôhtujôh	peuëtplôhtujôh	0	0.0
ace	48	peuëtplôhlapan	peuëtplôhlapan	0	0.0
ace	49	peuëtplôhsikureuëng	peuëtplôhsikureuëng	0	0.0
ace	50	limongplôh	limongplôh	0	0.0
ace	51	limongplôhsa	limongplôhsa	0	0.0
ace	52	limongplôhduwa	limongplôhduwa	0	0.0
ace	53	limongplôhlhèë	limongplôhlhèë	0	0.0
ace	54	limongplôhpeuët	limongplôhpeuët	0	0.0
ace	55	limongplôhlimong	limongplôhlimong	0	0.0
ace	56	limongplôhnam	limongplôhnam	0	0.0
ace	57	limongplôhtujôh	limongplôhtujôh	0	0.0
ace	58	limongplôhlapan	limongplôhlapan	0	0.0
ace	59	limongplôhsikureuëng	limongplôhsikureuëng	0	0.0
ace	60	namplôh	namplôh	0	0.0
ace	61	namplôhsa	namplôhsa	0	0.0
ace	62	namplôhduwa	namplôhduwa	0	0.0
ace	63	namplôhlhèë	namplôhlhèë	0	0.0
ace	64	namplôhpeuët	namplôhpeuët	0	0.0
ace	65	namplôhlimong	namplôhlimong	0	0.0
ace	66	namplôhnam	namplôhnam	0	0.0
ace	67	namplôhtujôh	namplôhtujôh	0	0.0
ace	68	namplôhlapan	namplôhlapan	0	0.0
ace	69	namplôhsikureuëng	namplôhsikureuëng	0	0.0
ace	70	tujôhplôh	tujôhplôh	0	0.0
ace	71	tujôhplôhsa	tujôhplôhsa	0	0.0
ace	72	tujôhplôhduwa	tujôhplôhduwa	0	0.0
ace	73	tujôhplôhlhèë	tujôhplôhlhèë	0	0.0
ace	74	tujôhplôhpeuët	tujôhplôhpeuët	0	0.0
ace	75	tujôhplôhlimong	tujôhplôhlimong	0	0.0
ace	76	tujôhplôhnam	tujôhplôhnam	0	0.0
ace	77	tujôhplôhtujôh	tujôhplôhpeuëng	1	0.3333333333333333
ace	78	tujôhplôhlapan	tujôhplôhlapan	0	0.0
ace	79	tujôhplôhsikureuëng	tujôhplôhsikureuëng	0	0.0
ace	80	lapanplôh	lapanplôh	0	0.0
ace	81	lapanplôhsa	lapanplôhsa	0	0.0
ace	82	lapanplôhduwa	lapanplôhduwa	0	0.0
ace	83	lapanplôhlhèë	lapanplôhlhèë	0	0.0
ace	84	lapanplôhpeuët	lapanplôhpeuët	0	0.0
ace	85	lapanplôhlimong	lapanplôhlimong	0	0.0
ace	86	lapanplôhnam	lapanplôhnam	0	0.0
ace	87	lapanplôhtujôh	lapanplôhtujôh	0	0.0
ace	88	lapanplôhlapan	lapanplôhlapan	0	0.0
ace	89	lapanplôhsikureuëng	lapanplôhsikureuëng	0	0.0
ace	90	sikureuëngplôh	sikureuëngplôh	0	0.0
ace	91	sikureuëngplôhsa	sikureuëngplôhsa	0	0.0
ace	92	sikureuëngplôhduwa	sikureuëngplôhduwa	0	0.0
ace	93	sikureuëngplôhlhèë	sikureuëngplôhlhèë	0	0.0
ace	94	sikureuëngplôhpeuët	sikureuëngplôhpeuët	0	0.0
ace	95	sikureuëngplôhlimong	sikureuëngplôhlimong	0	0.0
ace	96	sikureuëngplôhnam	sikureuëngplôhnam	0	0.0
ace	97	sikureuëngplôhtujôh	sikureuëngplôhtujôh	0	0.0
ace	98	sikureuëngplôhlapan	sikureuëngplôhlapan	0	0.0
ace	99	sikureuëngplôhsikureuëng	sikureuëngplôhlimong	1	0.2916666666666667
afr	01	een	eenenenenenenenenege	1	0.85
afr	02	twee	twe	1	0.25
afr	03	drie	driee	1	0.2
afr	04	vier	vieren	1	0.3333333333333333
afr	05	vyf	vyfen	1	0.4
afr	06	ses	sesen	1	0.4
afr	07	sewe	sewee	1	0.2
afr	08	agt	agten	1	0.4
afr	09	nege	negee	1	0.2
afr	10	tien	sestientig	1	0.6
afr	11	elf	tienenenenen	1	0.9166666666666666
afr	12	twaalf	tientweeen	1	0.8
afr	13	dertien	drientien	1	0.3333333333333333
afr	14	veertien	tierentieren	1	0.5
afr	15	vyftien	vyfentien	1	0.2222222222222222
afr	16	sestien	sesentien	1	0.2222222222222222
afr	17	sewentien	seweertien	1	0.2
afr	18	agtien	agtentien	1	0.3333333333333333
afr	19	negentien	negeertien	1	0.2
afr	20	twintig	nentwintig	1	0.3
afr	21	eenentwintig	eenentwintig	0	0.0
afr	22	tweeentwintig	tweeentwintig	0	0.0
afr	23	drieentwintig	drieentwintig	0	0.0
afr	24	vierentwintig	vierentwintig	0	0.0
afr	25	vyfentwintig	vyfentwintig	0	0.0
afr	26	sesentwintig	sesentwintig	0	0.0
afr	27	seweentwintig	seweentwintig	0	0.0
afr	28	agtentwintig	agtentwintig	0	0.0
afr	29	negeentwintig	negeentwintig	0	0.0
afr	30	dertig	sendertig	1	0.3333333333333333
afr	31	eenendertig	eenendertig	0	0.0
afr	32	tweeendertig	tweeendertig	0	0.0
afr	33	drieendertig	drieendertig	0	0.0
afr	34	vierendertig	vierendertig	0	0.0
afr	35	vyfendertig	vyfendertig	0	0.0
afr	36	sesendertig	sesendertig	0	0.0
afr	37	seweendertig	seweendertig	0	0.0
afr	38	agtendertig	agtendertig	0	0.0
afr	39	negeendertig	negeendertig	0	0.0
afr	40	veertig	senveertig	1	0.3
afr	41	eenenveertig	eenenveertig	0	0.0
afr	42	tweeenveertig	tweenveertig	1	0.07692307692307693
afr	43	drieenveertig	drieenveertig	0	0.0
afr	44	vierenveertig	vierenveertig	0	0.0
afr	45	vyfenveertig	vyfenveertig	0	0.0
afr	46	sesenveertig	sesenveertig	0	0.0
afr	47	seweenveertig	seweenveertig	0	0.0
afr	48	agtenveertig	agtenveertig	0	0.0
afr	49	negeenveertig	negeenveertig	0	0.0
afr	50	vyftig	nenvyftig	1	0.3333333333333333
afr	51	eenenvyftig	eenenvyftig	0	0.0
afr	52	tweeenvyftig	tweeenvyftig	0	0.0
afr	53	drieenvyftig	drieenvyftig	0	0.0
afr	54	vierenvyftig	vierenvyftig	0	0.0
afr	55	vyfenvyftig	vyfenvyftig	0	0.0
afr	56	sesenvyftig	sesenvyftig	0	0.0
afr	57	seweenvyftig	seweenvyftig	0	0.0
afr	58	agtenvyftig	agtenvyftig	0	0.0
afr	59	negeenvyftig	negeenvyftig	0	0.0
afr	60	sestig	sestig	0	0.0
afr	61	eenensestig	eenensestig	0	0.0
afr	62	tweeensestig	tweeensestig	0	0.0
afr	63	drieensestig	drieensestig	0	0.0
afr	64	vierensestig	vierensestig	0	0.0
afr	65	vyfensestig	vyfensestig	0	0.0
afr	66	sesensestig	sensesestig	1	0.18181818181818182
afr	67	seweensestig	seweensestig	0	0.0
afr	68	agtensestig	agtensestig	0	0.0
afr	69	negeensestig	negeensestig	0	0.0
afr	70	sewentig	sewentig	0	0.0
afr	71	eenensewentig	eensewentig	1	0.15384615384615385
afr	72	tweeensewentig	tweeensewentig	0	0.0
afr	73	drieensewentig	drieensewentig	0	0.0
afr	74	vierensewentig	vierensewentig	0	0.0
afr	75	vyfensewentig	vyfensewentig	0	0.0
afr	76	sesensewentig	sewensesesesewentig	1	0.3684210526315789
afr	77	seweensewentig	seweensewentig	0	0.0
afr	78	agtensewentig	agtensewentig	0	0.0
afr	79	negeensewentig	negeensewentig	0	0.0
afr	80	tagtig	nentagtig	1	0.3333333333333333
afr	81	eenentagtig	eenentagtig	0	0.0
afr	82	tweeentagtig	tweeentagtig	0	0.0
afr	83	drieentagtig	drieentagtig	0	0.0
afr	84	vierentagtig	vierentagtig	0	0.0
afr	85	vyfentagtig	vyfentagtig	0	0.0
afr	86	sesentagtig	sesentagtig	0	0.0
afr	87	seweentagtig	seweentagtig	0	0.0
afr	88	agtentagtig	agtentagtig	0	0.0
afr	89	negeentagtig	negeentagtig	0	0.0
afr	90	negentig	sennegentig	1	0.2727272727272727
afr	91	eenennegentig	eennentig	1	0.3076923076923077
afr	92	tweeennegentig	tweeennegentig	0	0.0
afr	93	drieennegentig	drieennegentig	0	0.0
afr	94	vierennegentig	vierennegentig	0	0.0
afr	95	vyfennegentig	vyfennegentig	0	0.0
afr	96	sesennegentig	sesennegentig	0	0.0
afr	97	seweennegentig	seweennegentig	0	0.0
afr	98	agtennegentig	agtennegentig	0	0.0
afr	99	negeennegentig	negeennegentig	0	0.0
aka_akuapem	01	baako	anbaako	1	0.2857142857142857
aka_akuapem	02	abien	abien	0	0.0
aka_akuapem	03	abiɛsa	anabiɛsa	1	0.25
aka_akuapem	04	anan	abaanan	1	0.42857142857142855
aka_akuapem	05	anum	anum	0	0.0
aka_akuapem	06	asia	abaasia	1	0.42857142857142855
aka_akuapem	07	ason	abaason	1	0.42857142857142855
aka_akuapem	08	awotwe	abaawotwe	1	0.3333333333333333
aka_akuapem	09	akron	abaakron	1	0.375
aka_akuapem	10	du	duan	1	0.5
aka_akuapem	11	dubaako	duanbaako	1	0.2222222222222222
aka_akuapem	12	duabien	duabien	0	0.0
aka_akuapem	13	duabiɛsa	duabiɛsa	0	0.0
aka_akuapem	14	duanan	duanan	0	0.0
aka_akuapem	15	duanum	duanum	0	0.0
aka_akuapem	16	duasia	duasia	0	0.0
aka_akuapem	17	duason	duason	0	0.0
aka_akuapem	18	duawotwe	dubaawotwe	1	0.2
aka_akuapem	19	duakron	dubaakron	1	0.2222222222222222
aka_akuapem	20	aduonu	aduonuan	1	0.25
aka_akuapem	21	aduonubaako	aduonuanbaako	1	0.15384615384615385
aka_akuapem	22	aduonuabien	aduonuabien	0	0.0
aka_akuapem	23	aduonuabiɛsa	aduonuabiɛsa	0	0.0
aka_akuapem	24	aduonuanan	aduonuanan	0	0.0
aka_akuapem	25	aduonuanum	aduonuanum	0	0.0
aka_akuapem	26	aduonuasia	aduonuasia	0	0.0
aka_akuapem	27	aduonuason	aduonuason	0	0.0
aka_akuapem	28	aduonuawotwe	aduonubaawotwe	1	0.14285714285714285
aka_akuapem	29	aduonuakron	aduonubaakron	1	0.15384615384615385
aka_akuapem	30	aduasa	aduasabien	1	0.4
aka_akuapem	31	aduasabaako	aduasaako	1	0.18181818181818182
aka_akuapem	32	aduasaabien	aduasaabien	0	0.0
aka_akuapem	33	aduasaabiɛsa	aduabiɛsaasa	1	0.5
aka_akuapem	34	aduasaanan	aduasaanan	0	0.0
aka_akuapem	35	aduasaanum	aduasaanum	0	0.0
aka_akuapem	36	aduasaasia	aduasaasia	0	0.0
aka_akuapem	37	aduasaason	aduasaason	0	0.0
aka_akuapem	38	aduasaawotwe	aduasaasonawotwe	1	0.25
aka_akuapem	39	aduasaakron	aduakronakronakron	1	0.4444444444444444
aka_akuapem	40	aduanan	adu	1	0.5714285714285714
aka_akuapem	41	aduananbaako	adubaako	1	0.3333333333333333
aka_akuapem	42	aduananabien	aduanabien	1	0.16666666666666666
aka_akuapem	43	aduananabiɛsa	aduanabiɛsa	1	0.15384615384615385
aka_akuapem	44	aduanananan	aduananan	1	0.18181818181818182
aka_akuapem	45	aduanananum	aduananum	1	0.18181818181818182
aka_akuapem	46	aduananasia	aduanasia	1	0.18181818181818182
aka_akuapem	47	aduananason	aduanason	1	0.18181818181818182
aka_akuapem	48	aduananawotwe	aduanawotwe	1	0.15384615384615385
aka_akuapem	49	aduananakron	aduanakron	1	0.16666666666666666
aka_akuapem	50	aduonum	aduon	1	0.2857142857142857
aka_akuapem	51	aduonumbaako	aduonumanbaako	1	0.14285714285714285
aka_akuapem	52	aduonumabien	aduonumbaabien	1	0.14285714285714285
aka_akuapem	53	aduonumabiɛsa	aduonumbaabiɛsa	1	0.13333333333333333
aka_akuapem	54	aduonumanan	aduonumbaanan	1	0.15384615384615385
aka_akuapem	55	aduonumanum	aduonumabaanum	1	0.21428571428571427
aka_akuapem	56	aduonumasia	aduonumbaasia	1	0.15384615384615385
aka_akuapem	57	aduonumason	aduonumbaason	1	0.15384615384615385
aka_akuapem	58	aduonumawotwe	aduonumbaawotwe	1	0.13333333333333333
aka_akuapem	59	aduonumakron	aduonumbaakron	1	0.14285714285714285
aka_akuapem	60	aduosia	aduosiaan	1	0.2222222222222222
aka_akuapem	61	aduosiabaako	aduosiaako	1	0.16666666666666666
aka_akuapem	62	aduosiaabien	aduosiaabien	0	0.0
aka_akuapem	63	aduosiaabiɛsa	aduosiaabiɛsa	0	0.0
aka_akuapem	64	aduosiaanan	aduosiaanan	0	0.0
aka_akuapem	65	aduosiaanum	aduosiaanum	0	0.0
aka_akuapem	66	aduosiaasia	aduosiaasia	0	0.0
aka_akuapem	67	aduosiaason	aduosiaason	0	0.0
aka_akuapem	68	aduosiaawotwe	aduosiaanawotwe	1	0.13333333333333333
aka_akuapem	69	aduosiaakron	aduosiaanakron	1	0.14285714285714285
aka_akuapem	70	aduoson	aduoson	0	0.0
aka_akuapem	71	aduosonbaako	aduosonbaako	0	0.0
aka_akuapem	72	aduosonabien	aduosonabien	0	0.0
aka_akuapem	73	aduosonabiɛsa	aduosonabiɛsa	0	0.0
aka_akuapem	74	aduosonanan	aduosonanan	0	0.0
aka_akuapem	75	aduosonanum	aduosonbaanum	1	0.15384615384615385
aka_akuapem	76	aduosonasia	aduosonasia	0	0.0
aka_akuapem	77	aduosonason	aduosonason	0	0.0
aka_akuapem	78	aduosonawotwe	aduosonawotwe	0	0.0
aka_akuapem	79	aduosonakron	aduosonakron	0	0.0
aka_akuapem	80	aduowotwe	aduowotwean	1	0.18181818181818182
aka_akuapem	81	aduowotwebaako	aduowotweanbaako	1	0.125
aka_akuapem	82	aduowotweabien	aduowotwebaabien	1	0.125
aka_akuapem	83	aduowotweabiɛsa	aduowotwebaabiɛsa	1	0.11764705882352941
aka_akuapem	84	aduowotweanan	aduowotwebaanan	1	0.13333333333333333
aka_akuapem	85	aduowotweanum	aduowotwebaanum	1	0.13333333333333333
aka_akuapem	86	aduowotweasia	aduowotwebaasia	1	0.13333333333333333
aka_akuapem	87	aduowotweason	aduowotwebaason	1	0.13333333333333333
aka_akuapem	88	aduowotweawotwe	aduowotweabaawotwe	1	0.16666666666666666
aka_akuapem	89	aduowotweakron	aduowotwebaakron	1	0.125
aka_akuapem	90	aduokron	aduokron	0	0.0
aka_akuapem	91	aduokronbaako	aduokronbaako	0	0.0
aka_akuapem	92	aduokronabien	aduokronabien	0	0.0
aka_akuapem	93	aduokronabiɛsa	aduokronabiɛsa	0	0.0
aka_akuapem	94	aduokronanan	aduokronanan	0	0.0
aka_akuapem	95	aduokronanum	aduokronbaanum	1	0.14285714285714285
aka_akuapem	96	aduokronasia	aduokronasia	0	0.0
aka_akuapem	97	aduokronason	aduokronason	0	0.0
aka_akuapem	98	aduokronawotwe	aduokronawotwe	0	0.0
aka_akuapem	99	aduokronakron	aduokronakron	0	0.0
aka_asante	01	baako	mmiɛnanbaako	1	0.5833333333333334
aka_asante	02	mmienu	mmienu	0	0.0
aka_asante	03	mmiɛnsa	nsammiɛnsa	1	0.3
aka_asante	04	ɛnan	mmiɛnannan	1	0.6
aka_asante	05	enum	mmiɛnannum	1	0.7
aka_asante	06	nsia	ɛnsia	1	0.2
aka_asante	07	nson	nson	0	0.0
aka_asante	08	nwɔtwe	nsanwɔtwe	1	0.3333333333333333
aka_asante	09	nkron	nsankron	1	0.375
aka_asante	10	edu	dum	1	0.6666666666666666
aka_asante	11	dubaako	edunsonumbaako	1	0.5
aka_asante	12	dummienu	edunsammienu	1	0.3333333333333333
aka_asante	13	dummiɛnsa	edunsammiɛnsa	1	0.3076923076923077
aka_asante	14	dunnan	dunnan	0	0.0
aka_asante	15	dunnum	dunnum	0	0.0
aka_asante	16	dunsia	dunsia	0	0.0
aka_asante	17	dunson	dunson	0	0.0
aka_asante	18	dunwɔtwe	dunnwɔtwe	1	0.1111111111111111
aka_asante	19	dunkron	dunnkron	1	0.125
aka_asante	20	aduonu	aduon	1	0.16666666666666666
aka_asante	21	aduonubaako	aduonunsabaako	1	0.21428571428571427
aka_asante	22	aduonummienu	aduonmmienu	1	0.08333333333333333
aka_asante	23	aduonummiɛnsa	aduonummiɛnsa	0	0.0
aka_asante	24	aduonunnan	aduonunnan	0	0.0
aka_asante	25	aduonunnum	aduonunnum	0	0.0
aka_asante	26	aduonunsia	aduonunsia	0	0.0
aka_asante	27	aduonunson	aduonunson	0	0.0
aka_asante	28	aduonunwɔtwe	aduonunnwɔtwe	1	0.07692307692307693
aka_asante	29	aduonunkron	aduonunnkron	1	0.08333333333333333
aka_asante	30	aduasa	aduasan	1	0.14285714285714285
aka_asante	31	aduasabaako	aduasannumbaako	1	0.26666666666666666
aka_asante	32	aduasammienu	aduasannummmienu	1	0.25
aka_asante	33	aduasammiɛnsa	aduasansansa	1	0.3076923076923077
aka_asante	34	aduasannan	aduasannan	0	0.0
aka_asante	35	aduasannum	aduasannum	0	0.0
aka_asante	36	aduasansia	aduasansia	0	0.0
aka_asante	37	aduasanson	aduasanson	0	0.0
aka_asante	38	aduasanwɔtwe	aduasannwɔtwe	1	0.07692307692307693
aka_asante	39	aduasankron	aduasannkron	1	0.08333333333333333
aka_asante	40	aduanan	aduanannsa	1	0.3
aka_asante	41	aduananbaako	aduanananannsonbaako	1	0.4
aka_asante	42	aduananmmienu	aduanananannsammienu	1	0.35
aka_asante	43	aduananmmiɛnsa	aduananannsammiɛnsa	1	0.2631578947368421
aka_asante	44	aduanannnan	adunnananananan	1	0.26666666666666666
aka_asante	45	aduanannnum	aduanannnum	0	0.0
aka_asante	46	aduanannsia	aduanannsia	0	0.0
aka_asante	47	aduanannson	aduanannson	0	0.0
aka_asante	48	aduanannwɔtwe	aduanannwɔtwe	0	0.0
aka_asante	49	aduanannkron	aduanannkron	0	0.0
aka_asante	50	aduonum	aduonumnnu	1	0.3
aka_asante	51	aduonumbaako	aduonbaako	1	0.16666666666666666
aka_asante	52	aduonummmienu	aduonummmienu	0	0.0
aka_asante	53	aduonummmiɛnsa	aduonummmiɛnsa	0	0.0
aka_asante	54	aduonumnnan	aduonummmiɛnannan	1	0.35294117647058826
aka_asante	55	aduonumnnum	aduonumnnum	0	0.0
aka_asante	56	aduonumnsia	aduonumnsia	0	0.0
aka_asante	57	aduonumnson	aduonumnnson	1	0.08333333333333333
aka_asante	58	aduonumnwɔtwe	aduonumnnwɔtwe	1	0.07142857142857142
aka_asante	59	aduonumnkron	aduonumnnkron	1	0.07692307692307693
aka_asante	60	aduosia	aduosian	1	0.125
aka_asante	61	aduosiabaako	aduosiansonbaako	1	0.25
aka_asante	62	aduosiammienu	aduosiansammienu	1	0.1875
aka_asante	63	aduosiammiɛnsa	aduosiansammiɛnsa	1	0.17647058823529413
aka_asante	64	aduosiannan	aduosiannan	0	0.0
aka_asante	65	aduosiannum	aduosiannum	0	0.0
aka_asante	66	aduosiansia	aduosiansia	0	0.0
aka_asante	67	aduosianson	aduosianson	0	0.0
aka_asante	68	aduosianwɔtwe	aduosiannwɔtwe	1	0.07142857142857142
aka_asante	69	aduosiankron	aduosiannkron	1	0.07692307692307693
aka_asante	70	aduɔson	adu	1	0.5714285714285714
aka_asante	71	aduɔsonbaako	aduɔsonnsabaako	1	0.2
aka_asante	72	aduɔsonmmienu	aduɔsonmmienu	0	0.0
aka_asante	73	aduɔsonmmiɛnsa	aduɔsonmmiɛnsa	0	0.0
aka_asante	74	aduɔsonnnan	aduɔsonnnan	0	0.0
aka_asante	75	aduɔsonnnum	aduɔsonnnum	0	0.0
aka_asante	76	aduɔsonnsia	aduɔsonnsia	0	0.0
aka_asante	77	aduɔsonnson	aduɔsonnson	0	0.0
aka_asante	78	aduɔsonnwɔtwe	aduɔsonnwɔtwe	0	0.0
aka_asante	79	aduɔsonnkron	aduɔsonnkron	0	0.0
aka_asante	80	aduɔwɔtwe	aduɔwɔtwensa	1	0.25
aka_asante	81	aduɔwɔtwebaako	aduɔwɔtwensabaako	1	0.17647058823529413
aka_asante	82	aduɔwɔtwemmienu	aduɔwɔtwenummmienu	1	0.16666666666666666
aka_asante	83	aduɔwɔtwemmiɛnsa	aduɔwɔtwensammiɛnsa	1	0.15789473684210525
aka_asante	84	aduɔwɔtwennan	aduɔwɔtwemmiɛnannan	1	0.3157894736842105
aka_asante	85	aduɔwɔtwennum	aduɔwɔtwemmiɛnannum	1	0.3157894736842105
aka_asante	86	aduɔwɔtwensia	aduɔwɔtwensia	0	0.0
aka_asante	87	aduɔwɔtwenson	aduɔwɔtwenson	0	0.0
aka_asante	88	aduɔwɔtwenwɔtwe	aduɔwɔtwennwɔtwe	1	0.0625
aka_asante	89	aduɔwɔtwenkron	aduɔwɔtwennkron	1	0.06666666666666667
aka_asante	90	aduɔkron	adu	1	0.625
aka_asante	91	aduɔkronbaako	aduɔkronnsabaako	1	0.1875
aka_asante	92	aduɔkronmmienu	aduɔkronmmienu	0	0.0
aka_asante	93	aduɔkronmmiɛnsa	aduɔkronmmiɛnsa	0	0.0
aka_asante	94	aduɔkronnnan	aduɔkronnnan	0	0.0
aka_asante	95	aduɔkronnnum	aduɔkronnnum	0	0.0
aka_asante	96	aduɔkronnsia	aduɔkronnsia	0	0.0
aka_asante	97	aduɔkronnson	aduɔkronnson	0	0.0
aka_asante	98	aduɔkronnwɔtwe	aduɔkronnwɔtwe	0	0.0
aka_asante	99	aduɔkronnkron	aduɔkronnkron	0	0.0
amh	01	አንድ	ሰባት	1	1.0
amh	02	ሁለት	ሦስት	1	0.6666666666666666
amh	03	ሦስት	ስድስት	1	0.5
amh	04	አራት	አምስት	1	0.5
amh	05	አምስት	ሰባአምስት	1	0.3333333333333333
amh	06	ስድስት	ሰባት	1	0.75
amh	07	ሰባት	አራት	1	0.6666666666666666
amh	08	ስምንት	ዘጠናስምንት	1	0.42857142857142855
amh	09	ዘጠኝ	ሰባት	1	1.0
amh	10	ዐሥር	ዐሥር	0	0.0
amh	11	ዐሥራአንድ	አንድ	1	0.5
amh	12	ዐሥራሁለት	ዐሥር	1	0.6666666666666666
amh	13	ዐሥራሦስት	ሃያሦስት	1	0.5
amh	14	ዐሥራአራት	ዐሥር	1	0.6666666666666666
amh	15	ዐሥራአምስት	ሃያአምስት	1	0.42857142857142855
amh	16	ዐሥራስድስት	ዐሥራሦስት	1	0.2857142857142857
amh	17	ዐሥራሰባት	ዐሥራስምንት	1	0.42857142857142855
amh	18	ዐሥራስምንት	ስምንት	1	0.42857142857142855
amh	19	ዐሥራዘጠኝ	ዐሥራአንድ	1	0.5
amh	20	ሃያ	ሃያስምንት	1	0.6666666666666666
amh	21	ሃያአንድ	ሃያአንድ	0	0.0
amh	22	ሃያሁለት	ሃያስምንት	1	0.5
amh	23	ሃያሦስት	ሃያአምስት	1	0.3333333333333333
amh	24	ሃያአራት	ሃያአራት	0	0.0
amh	25	ሃያአምስት	ሃያአምስት	0	0.0
amh	26	ሃያስድስት	ሃያሰባስድስት	1	0.25
amh	27	ሃያሰባት	ሰባሰባት	1	0.4
amh	28	ሃያስምንት	ሰማንያስምንት	1	0.375
amh	29	ሃያዘጠኝ	ሃያአንድ	1	0.6
amh	30	ሠላሳ	ሠላሳስምንት	1	0.5714285714285714
amh	31	ሠላሳአንድ	ሠላሳአንድ	0	0.0
amh	32	ሠላሳሁለት	ሁለት	1	0.5
amh	33	ሠላሳሦስት	ሠላሳስምንት	1	0.42857142857142855
amh	34	ሠላሳአራት	ሠላሳአራት	0	0.0
amh	35	ሠላሳአምስት	ሠላሳአምስት	0	0.0
amh	36	ሠላሳስድስት	ሠላሳስድስት	0	0.0
amh	37	ሠላሳሰባት	ሰባሰባት	1	0.5
amh	38	ሠላሳስምንት	ሠላሳስምንት	0	0.0
amh	39	ሠላሳዘጠኝ	ዐሥራዘጠኝ	1	0.5
amh	40	አርባ	አርባስምንት	1	0.5714285714285714
amh	41	አርባአንድ	አርባአንድ	0	0.0
amh	42	አርባሁለት	ሃያሁለት	1	0.5
amh	43	አርባሦስት	አርባአምስት	1	0.2857142857142857
amh	44	አርባአራት	አርባአራት	0	0.0
amh	45	አርባአምስት	አርባአምስት	0	0.0
amh	46	አርባስድስት	አርባዘጠናስድስት	1	0.3
amh	47	አርባሰባት	አርባስምንት	1	0.42857142857142855
amh	48	አርባስምንት	ዐሥራስምንት	1	0.42857142857142855
amh	49	አርባዘጠኝ	ሃያዘጠኝ	1	0.5
amh	50	ሃምሳ	ሃምሳስምንት	1	0.5714285714285714
amh	51	ሃምሳአንድ	ሃምሳአንድ	0	0.0
amh	52	ሃምሳሁለት	ዐሥራሁለት	1	0.5
amh	53	ሃምሳሦስት	ሃምሳስምንት	1	0.42857142857142855
amh	54	ሃምሳአራት	ሃምሳአራት	0	0.0
amh	55	ሃምሳአምስት	ሃምሳአምስት	0	0.0
amh	56	ሃምሳስድስት	ሃምሳአምስት	1	0.2857142857142857
amh	57	ሃምሳሰባት	ዐሥራሰባት	1	0.5
amh	58	ሃምሳስምንት	ስምንት	1	0.42857142857142855
amh	59	ሃምሳዘጠኝ	ሃምሳስምንት	1	0.5714285714285714
amh	60	ስልሳ	ስልሳስምንት	1	0.5714285714285714
amh	61	ስልሳአንድ	ስልሳአንድ	0	0.0
